p2,p1,Genotype,value,trait,pop,FID,p1t,p2t,HPH,pHPH,MPH,pMPH
Z018,Z013,Z013xZ018,167.513464127362,TKW,Diallel,Z000,8.25804774122079,35.2499186709276,132.263545456434,3.75216597493937,159.255416386141,19.2848747520801
Z018,Z016,Z016xZ018,143.775555555558,TKW,Diallel,Z000,54.8086477524283,35.2499186709276,88.9669078031297,1.62322756447112,88.9669078031297,1.62322756447112
Z018,Z012,Z012xZ018,94.9256731577933,TKW,Diallel,Z000,28.8217097664763,35.2499186709276,59.6757544868657,1.69293311124951,66.103963391317,2.29354760445909
Z018,Z008,Z008xZ018,102.162222222223,TKW,Diallel,Z000,17.2159449471195,35.2499186709276,66.9123035512954,1.89822575694285,84.9462772751035,4.9341629248946
Z018,Z015,Z015xZ018,224.723333333336,TKW,Diallel,Z000,43.0433706146946,35.2499186709276,181.679962718641,4.22085817453658,181.679962718641,4.22085817453658
Z019,Z001,Z001xZ019,173.391666666669,TKW,Diallel,Z000,59.6185484487999,37.9184761322053,113.773118217869,1.90835102796199,113.773118217869,1.90835102796199
Z019,Z005,Z005xZ019,261.116727641034,TKW,Diallel,Z000,13.9825122788476,37.9184761322053,223.198251508829,5.88626638714681,247.134215362186,17.6745216048224
Z019,Z014,Z014xZ019,221.816666666669,TKW,Diallel,Z000,50.286274479004,37.9184761322053,171.530392187665,3.41107775361812,171.530392187665,3.41107775361812
Z019,Z006,Z006xZ019,190.572222222225,TKW,Diallel,Z000,32.629713343418,37.9184761322053,152.65374609002,4.02584074206416,157.942508878807,4.84045039613156
Z019,Z002,Z002xZ019,159.733333333333,TKW,Diallel,Z000,41.51133438328,37.9184761322053,118.221998950053,2.84794504215385,118.221998950053,2.84794504215385
Z019,Z016,Z016xZ019,200.423888888891,TKW,Diallel,Z000,54.8086477524283,37.9184761322053,145.615241136463,2.65679317238786,145.615241136463,2.65679317238786
Z019,Z011,Z011xZ019,124.003333333336,TKW,Diallel,Z000,30.8921176570358,37.9184761322053,86.0848572011307,2.2702615184479,93.1112156763002,3.0140768175889
Z020,Z010,Z010xZ020,112.343333333337,TKW,Diallel,Z000,11.457793907388,19.5680304517319,92.7753028816051,4.74116713536665,100.885539425949,8.80497068121446
Z020,Z001,Z001xZ020,186.21277777778,TKW,Diallel,Z000,59.6185484487999,19.5680304517319,126.59422932898,2.12340341425284,126.59422932898,2.12340341425284
Z020,Z008,Z008xZ020,89.1335686548448,TKW,Diallel,Z000,17.2159449471195,19.5680304517319,69.5655382031129,3.55506081078057,71.9176237077253,4.1773846238837
Z020,Z017,Z017xZ020,196.41637353396,TKW,Diallel,Z000,64.814498683934,19.5680304517319,131.601874850026,2.0304388296171,131.601874850026,2.0304388296171
Z020,Z016,Z016xZ020,111.588888888892,TKW,Diallel,Z000,54.8086477524283,19.5680304517319,56.7802411364637,1.03597230482571,56.7802411364637,1.03597230482571
Z020,Z018,Z018xZ020,133.235555555558,TKW,Diallel,Z000,35.2499186709276,19.5680304517319,97.9856368846304,2.77974079314527,97.9856368846304,2.77974079314527
Z020,Z005,Z005xZ020,128.724444444445,TKW,Diallel,Z000,13.9825122788476,19.5680304517319,109.156413992713,5.57830356314946,114.741932165597,8.20610272870464
Z020,Z011,Z011xZ020,141.850265555722,TKW,Diallel,Z000,30.8921176570358,19.5680304517319,110.958147898686,3.59179481091401,110.958147898686,3.59179481091401
